date,zones,landings
8/1/2020,west,3327.580645
8/2/2020,west,3327.580645
8/3/2020,west,3327.580645
8/4/2020,west,3327.580645
8/5/2020,west,3327.580645
8/6/2020,west,3327.580645
8/7/2020,west,3327.580645
8/8/2020,west,3327.580645
8/9/2020,west,3327.580645
8/10/2020,west,3327.580645
8/11/2020,west,3327.580645
8/12/2020,west,3327.580645
8/13/2020,west,3327.580645
8/14/2020,west,3327.580645
8/15/2020,west,3327.580645
8/16/2020,west,3327.580645
8/17/2020,west,3327.580645
8/18/2020,west,3327.580645
8/19/2020,west,3327.580645
8/20/2020,west,3327.580645
8/21/2020,west,3327.580645
8/22/2020,west,3327.580645
8/23/2020,west,3327.580645
8/24/2020,west,3327.580645
8/25/2020,west,3327.580645
8/26/2020,west,3327.580645
8/27/2020,west,3327.580645
8/28/2020,west,3327.580645
8/29/2020,west,3327.580645
8/30/2020,west,3327.580645
8/31/2020,west,3327.580645
9/1/2020,west,1767.311475
9/2/2020,west,1767.311475
9/3/2020,west,1767.311475
9/4/2020,west,1767.311475
9/5/2020,west,1767.311475
9/6/2020,west,1767.311475
9/7/2020,west,1767.311475
9/8/2020,west,1767.311475
9/9/2020,west,1767.311475
9/10/2020,west,1767.311475
9/11/2020,west,1767.311475
9/12/2020,west,1767.311475
9/13/2020,west,1767.311475
9/14/2020,west,1767.311475
9/15/2020,west,1767.311475
9/16/2020,west,1767.311475
9/17/2020,west,1767.311475
9/18/2020,west,1767.311475
9/19/2020,west,1767.311475
9/20/2020,west,1767.311475
9/21/2020,west,1767.311475
9/22/2020,west,1767.311475
9/23/2020,west,1767.311475
9/24/2020,west,1767.311475
9/25/2020,west,1767.311475
9/26/2020,west,1767.311475
9/27/2020,west,1767.311475
9/28/2020,west,1767.311475
9/29/2020,west,1767.311475
9/30/2020,west,1767.311475
10/1/2020,west,1767.311475
10/2/2020,west,1767.311475
10/3/2020,west,1767.311475
10/4/2020,west,1767.311475
10/5/2020,west,1767.311475
10/6/2020,west,1767.311475
10/7/2020,west,1767.311475
10/8/2020,west,1767.311475
10/9/2020,west,1767.311475
10/10/2020,west,1767.311475
10/11/2020,west,1767.311475
10/12/2020,west,1767.311475
10/13/2020,west,1767.311475
10/14/2020,west,1767.311475
10/15/2020,west,1767.311475
10/16/2020,west,1767.311475
10/17/2020,west,1767.311475
10/18/2020,west,1767.311475
10/19/2020,west,1767.311475
10/20/2020,west,1767.311475
10/21/2020,west,1767.311475
10/22/2020,west,1767.311475
10/23/2020,west,1767.311475
10/24/2020,west,1767.311475
10/25/2020,west,1767.311475
10/26/2020,west,1767.311475
10/27/2020,west,1767.311475
10/28/2020,west,1767.311475
10/29/2020,west,1767.311475
10/30/2020,west,1767.311475
10/31/2020,west,1767.311475
11/1/2020,west,211.7322404
11/2/2020,west,211.7322404
