date,zones,landings
8/1/20,west,8378
8/2/20,west,8378
8/3/20,west,8378
8/4/20,west,8378
8/5/20,west,8378
8/6/20,west,8378
8/7/20,west,8378
8/8/20,west,8378
8/9/20,west,8378
8/10/20,west,8378
8/11/20,west,8378
8/12/20,west,8378
8/13/20,west,8378
8/14/20,west,8378
8/15/20,west,8378
8/16/20,west,8378
8/17/20,west,8378
8/18/20,west,8378
8/19/20,west,8378
8/20/20,west,8378
8/21/20,west,8378
8/22/20,west,8378
8/23/20,west,8378
8/24/20,west,8378
8/25/20,west,8378
8/26/20,west,8378
8/27/20,west,8378
8/28/20,west,8378
8/29/20,west,8378
8/30/20,west,8378
8/31/20,west,8378
9/1/20,west,1015
9/2/20,west,1015
9/3/20,west,1015
9/4/20,west,1015
9/5/20,west,1015
9/6/20,west,1015
9/7/20,west,1015
9/8/20,west,1015
9/9/20,west,1015
9/10/20,west,1015
9/11/20,west,1015
9/12/20,west,1015
9/13/20,west,1015
9/14/20,west,1015
9/15/20,west,1015
9/16/20,west,1015
9/17/20,west,1015
9/18/20,west,1015
9/19/20,west,1015
9/20/20,west,1015
9/21/20,west,1015
9/22/20,west,1015
9/23/20,west,1015
9/24/20,west,1015
9/25/20,west,1015
9/26/20,west,1015
9/27/20,west,1015
9/28/20,west,1015
9/29/20,west,1015
9/30/20,west,1015
10/1/20,west,1015
10/2/20,west,1015
10/3/20,west,1015
10/4/20,west,1015
10/5/20,west,1015
10/6/20,west,1015
10/7/20,west,1015
10/8/20,west,1015
10/9/20,west,1015
10/10/20,west,1015
10/11/20,west,1015
10/12/20,west,1015
10/13/20,west,1015
10/14/20,west,1015
10/15/20,west,1015
10/16/20,west,1015
10/17/20,west,1015
10/18/20,west,1015
10/19/20,west,1015
10/20/20,west,1015
10/21/20,west,1015
10/22/20,west,1015
10/23/20,west,1015
10/24/20,west,1015
10/25/20,west,1015
10/26/20,west,1015
10/27/20,west,1015
10/28/20,west,1015
10/29/20,west,1015
10/30/20,west,1015
10/31/20,west,1015
11/1/20,west,120
11/2/20,west,120
11/3/20,west,120
11/4/20,west,120
11/5/20,west,120
11/6/20,west,120
11/7/20,west,120
11/8/20,west,120
11/9/20,west,120
11/10/20,west,120
11/11/20,west,120
11/12/20,west,120
11/13/20,west,120
11/14/20,west,120
11/15/20,west,120
11/16/20,west,120
11/17/20,west,120
11/18/20,west,120
11/19/20,west,120
11/20/20,west,120
11/21/20,west,120
11/22/20,west,120
11/23/20,west,120
11/24/20,west,120
11/25/20,west,120
11/26/20,west,120
11/27/20,west,120
11/28/20,west,120
11/29/20,west,120
11/30/20,west,120
12/1/20,west,120
12/2/20,west,120
12/3/20,west,120
12/4/20,west,120
12/5/20,west,120
12/6/20,west,120
12/7/20,west,120
12/8/20,west,120
12/9/20,west,120
12/10/20,west,120
12/11/20,west,120
12/12/20,west,120
12/13/20,west,120
12/14/20,west,120
12/15/20,west,120
12/16/20,west,120
12/17/20,west,120
12/18/20,west,120
12/19/20,west,120
12/20/20,west,120
12/21/20,west,120
12/22/20,west,120
12/23/20,west,120
12/24/20,west,120
12/25/20,west,120
12/26/20,west,120
12/27/20,west,120
12/28/20,west,120
12/29/20,west,120
12/30/20,west,120
12/31/20,west,120
1/1/21,west,209
1/2/21,west,209
1/3/21,west,209
1/4/21,west,209
1/5/21,west,209
1/6/21,west,209
1/7/21,west,209
1/8/21,west,209
1/9/21,west,209
1/10/21,west,209
1/11/21,west,209
1/12/21,west,209
1/13/21,west,209
1/14/21,west,209
1/15/21,west,209
1/16/21,west,209
1/17/21,west,209
1/18/21,west,209
1/19/21,west,209
1/20/21,west,209
1/21/21,west,209
1/22/21,west,209
1/23/21,west,209
1/24/21,west,209
1/25/21,west,209
1/26/21,west,209
1/27/21,west,209
1/28/21,west,209
1/29/21,west,209
1/30/21,west,209
1/31/21,west,209
2/1/21,west,209
2/2/21,west,209
2/3/21,west,209
2/4/21,west,209
2/5/21,west,209
2/6/21,west,209
2/7/21,west,209
2/8/21,west,209
2/9/21,west,209
2/10/21,west,209
2/11/21,west,209
2/12/21,west,209
2/13/21,west,209
2/14/21,west,209
2/15/21,west,209
2/16/21,west,209
2/17/21,west,209
2/18/21,west,209
2/19/21,west,209
2/20/21,west,209
2/21/21,west,209
2/22/21,west,209
2/23/21,west,209
2/24/21,west,209
2/25/21,west,209
2/26/21,west,209
2/27/21,west,209
2/28/21,west,209
3/1/21,west,1541
3/2/21,west,1541
3/3/21,west,1541
3/4/21,west,1541
3/5/21,west,1541
3/6/21,west,1541
3/7/21,west,1541
3/8/21,west,1541
3/9/21,west,1541
3/10/21,west,1541
3/11/21,west,1541
3/12/21,west,1541
3/13/21,west,1541
3/14/21,west,1541
3/15/21,west,1541
3/16/21,west,1541
3/17/21,west,1541
3/18/21,west,1541
3/19/21,west,1541
3/20/21,west,1541
3/21/21,west,1541
3/22/21,west,1541
3/23/21,west,1541
3/24/21,west,1541
3/25/21,west,1541
3/26/21,west,1541
3/27/21,west,1541
3/28/21,west,1541
3/29/21,west,1541
3/30/21,west,1541
3/31/21,west,1541
4/1/21,west,1541
4/2/21,west,1541
4/3/21,west,1541
4/4/21,west,1541
4/5/21,west,1541
4/6/21,west,1541
4/7/21,west,1541
4/8/21,west,1541
4/9/21,west,1541
4/10/21,west,1541
4/11/21,west,1541
4/12/21,west,1541
4/13/21,west,1541
4/14/21,west,1541
4/15/21,west,1541
4/16/21,west,1541
4/17/21,west,1541
4/18/21,west,1541
4/19/21,west,1541
4/20/21,west,1541
4/21/21,west,1541
4/22/21,west,1541
4/23/21,west,1541
4/24/21,west,1541
4/25/21,west,1541
4/26/21,west,1541
4/27/21,west,1541
4/28/21,west,1541
4/29/21,west,1541
4/30/21,west,1541
5/1/21,west,11094
5/2/21,west,11094
5/3/21,west,11094
5/4/21,west,11094
5/5/21,west,11094
5/6/21,west,11094
5/7/21,west,11094
5/8/21,west,11094
5/9/21,west,11094
5/10/21,west,11094
5/11/21,west,11094
5/12/21,west,11094
5/13/21,west,11094
5/14/21,west,11094
5/15/21,west,11094
5/16/21,west,11094
5/17/21,west,11094
5/18/21,west,11094
5/19/21,west,11094
5/20/21,west,11094
5/21/21,west,11094
5/22/21,west,11094
5/23/21,west,11094
5/24/21,west,11094
5/25/21,west,11094
5/26/21,west,11094
5/27/21,west,11094
5/28/21,west,11094
5/29/21,west,11094
5/30/21,west,11094
5/31/21,west,11094
6/1/21,west,11464
6/2/21,west,11464
6/3/21,west,11464
6/4/21,west,11464
6/5/21,west,11464
6/6/21,west,11464
6/7/21,west,11464
6/8/21,west,11464
6/9/21,west,11464
6/10/21,west,11464
6/11/21,west,11464
6/12/21,west,11464
6/13/21,west,11464
6/14/21,west,11464
6/15/21,west,11464
6/16/21,west,11464
6/17/21,west,11464
6/18/21,west,11464
6/19/21,west,11464
6/20/21,west,11464
6/21/21,west,11464
6/22/21,west,11464
6/23/21,west,11464
6/24/21,west,11464
6/25/21,west,11464
6/26/21,west,11464
6/27/21,west,11464
6/28/21,west,11464
6/29/21,west,11464
6/30/21,west,11464
7/1/21,west,8378
7/2/21,west,8378
7/3/21,west,8378
7/4/21,west,8378
7/5/21,west,8378
7/6/21,west,8378
7/7/21,west,8378
7/8/21,west,8378
7/9/21,west,8378
7/10/21,west,8378
7/11/21,west,8378
7/12/21,west,8378
7/13/21,west,8378
7/14/21,west,8378
7/15/21,west,8378
7/16/21,west,8378
7/17/21,west,8378
7/18/21,west,8378
7/19/21,west,8378
7/20/21,west,8378
7/21/21,west,8378
7/22/21,west,8378
7/23/21,west,8378
7/24/21,west,8378
7/25/21,west,8378
7/26/21,west,8378
7/27/21,west,8378
7/28/21,west,8378
7/29/21,west,8378
7/30/21,west,8378
7/31/21,west,8378
8/1/20,east,8378
8/2/20,east,8378
8/3/20,east,8378
8/4/20,east,8378
8/5/20,east,8378
8/6/20,east,8378
8/7/20,east,8378
8/8/20,east,8378
8/9/20,east,8378
8/10/20,east,8378
8/11/20,east,8378
8/12/20,east,8378
8/13/20,east,8378
8/14/20,east,8378
8/15/20,east,8378
8/16/20,east,8378
8/17/20,east,8378
8/18/20,east,8378
8/19/20,east,8378
8/20/20,east,8378
8/21/20,east,8378
8/22/20,east,8378
8/23/20,east,8378
8/24/20,east,8378
8/25/20,east,8378
8/26/20,east,8378
8/27/20,east,8378
8/28/20,east,8378
8/29/20,east,8378
8/30/20,east,8378
8/31/20,east,8378
9/1/20,east,5476
9/2/20,east,5476
9/3/20,east,5476
9/4/20,east,5476
9/5/20,east,5476
9/6/20,east,5476
9/7/20,east,5476
9/8/20,east,5476
9/9/20,east,5476
9/10/20,east,5476
9/11/20,east,5476
9/12/20,east,5476
9/13/20,east,5476
9/14/20,east,5476
9/15/20,east,5476
9/16/20,east,5476
9/17/20,east,5476
9/18/20,east,5476
9/19/20,east,5476
9/20/20,east,5476
9/21/20,east,5476
9/22/20,east,5476
9/23/20,east,5476
9/24/20,east,5476
9/25/20,east,5476
9/26/20,east,5476
9/27/20,east,5476
9/28/20,east,5476
9/29/20,east,5476
9/30/20,east,5476
10/1/20,east,5476
10/2/20,east,5476
10/3/20,east,5476
10/4/20,east,5476
10/5/20,east,5476
10/6/20,east,5476
10/7/20,east,5476
10/8/20,east,5476
10/9/20,east,5476
10/10/20,east,5476
10/11/20,east,5476
10/12/20,east,5476
10/13/20,east,5476
10/14/20,east,5476
10/15/20,east,5476
10/16/20,east,5476
10/17/20,east,5476
10/18/20,east,5476
10/19/20,east,5476
10/20/20,east,5476
10/21/20,east,5476
10/22/20,east,5476
10/23/20,east,5476
10/24/20,east,5476
10/25/20,east,5476
10/26/20,east,5476
10/27/20,east,5476
10/28/20,east,5476
10/29/20,east,5476
10/30/20,east,5476
10/31/20,east,5476
11/1/20,east,601
11/2/20,east,601
11/3/20,east,601
11/4/20,east,601
11/5/20,east,601
11/6/20,east,601
11/7/20,east,601
11/8/20,east,601
11/9/20,east,601
11/10/20,east,601
11/11/20,east,601
11/12/20,east,601
11/13/20,east,601
11/14/20,east,601
11/15/20,east,601
11/16/20,east,601
11/17/20,east,601
11/18/20,east,601
11/19/20,east,601
11/20/20,east,601
11/21/20,east,601
11/22/20,east,601
11/23/20,east,601
11/24/20,east,601
11/25/20,east,601
11/26/20,east,601
11/27/20,east,601
11/28/20,east,601
11/29/20,east,601
11/30/20,east,601
12/1/20,east,601
12/2/20,east,601
12/3/20,east,601
12/4/20,east,601
12/5/20,east,601
12/6/20,east,601
12/7/20,east,601
12/8/20,east,601
12/9/20,east,601
12/10/20,east,601
12/11/20,east,601
12/12/20,east,601
12/13/20,east,601
12/14/20,east,601
12/15/20,east,601
12/16/20,east,601
12/17/20,east,601
12/18/20,east,601
12/19/20,east,601
12/20/20,east,601
12/21/20,east,601
12/22/20,east,601
12/23/20,east,601
12/24/20,east,601
12/25/20,east,601
12/26/20,east,601
12/27/20,east,601
12/28/20,east,601
12/29/20,east,601
12/30/20,east,601
12/31/20,east,601
1/1/21,east,3655
1/2/21,east,3655
1/3/21,east,3655
1/4/21,east,3655
1/5/21,east,3655
1/6/21,east,3655
1/7/21,east,3655
1/8/21,east,3655
1/9/21,east,3655
1/10/21,east,3655
1/11/21,east,3655
1/12/21,east,3655
1/13/21,east,3655
1/14/21,east,3655
1/15/21,east,3655
1/16/21,east,3655
1/17/21,east,3655
1/18/21,east,3655
1/19/21,east,3655
1/20/21,east,3655
1/21/21,east,3655
1/22/21,east,3655
1/23/21,east,3655
1/24/21,east,3655
1/25/21,east,3655
1/26/21,east,3655
1/27/21,east,3655
1/28/21,east,3655
1/29/21,east,3655
1/30/21,east,3655
1/31/21,east,3655
2/1/21,east,3655
2/2/21,east,3655
2/3/21,east,3655
2/4/21,east,3655
2/5/21,east,3655
2/6/21,east,3655
2/7/21,east,3655
2/8/21,east,3655
2/9/21,east,3655
2/10/21,east,3655
2/11/21,east,3655
2/12/21,east,3655
2/13/21,east,3655
2/14/21,east,3655
2/15/21,east,3655
2/16/21,east,3655
2/17/21,east,3655
2/18/21,east,3655
2/19/21,east,3655
2/20/21,east,3655
2/21/21,east,3655
2/22/21,east,3655
2/23/21,east,3655
2/24/21,east,3655
2/25/21,east,3655
2/26/21,east,3655
2/27/21,east,3655
2/28/21,east,3655
3/1/21,east,13512
3/2/21,east,13512
3/3/21,east,13512
3/4/21,east,13512
3/5/21,east,13512
3/6/21,east,13512
3/7/21,east,13512
3/8/21,east,13512
3/9/21,east,13512
3/10/21,east,13512
3/11/21,east,13512
3/12/21,east,13512
3/13/21,east,13512
3/14/21,east,13512
3/15/21,east,13512
3/16/21,east,13512
3/17/21,east,13512
3/18/21,east,13512
3/19/21,east,13512
3/20/21,east,13512
3/21/21,east,13512
3/22/21,east,13512
3/23/21,east,13512
3/24/21,east,13512
3/25/21,east,13512
3/26/21,east,13512
3/27/21,east,13512
3/28/21,east,13512
3/29/21,east,13512
